,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
105,1601020800000,call,BTC-25SEP20-3500-C,3500.0,9438.2,BTC-25SEP20,1589434946844,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.62,3.0,0.622,0.6665,0.64163035,111.53,0.613,0.0,9353.27,"{'vega': 4.47261, 'theta': -1.86002, 'rho': 11.19505, 'gamma': 1e-05, 'delta': 0.9645}",9353.27,19236375023,"[[0.0015, 4.6], [0.001, 10.0]]",0.0,0.0015,4.6,0.0,0.0,[],0.0
106,1593158400000,put,BTC-26JUN20-28000-P,28000.0,9361.44,BTC-26JUN20,1589434948150,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,2.16,1.0,1.9045,2.1035,1.9959314,148.76,3.24,0.0,9353.33,"{'vega': 2.16025, 'theta': -3.72849, 'rho': -32.788, 'gamma': 1e-05, 'delta': -0.97047}",9353.33,19228290703,"[[1.496, 0.1]]",0.0,1.496,0.1,0.0,0.0,[],0.0
107,1601020800000,call,BTC-25SEP20-18000-C,18000.0,9438.28,BTC-25SEP20,1589434947997,"{'volume': 14.3, 'price_change': 18.9189, 'low': 0.037, 'high': 0.044}",open,0.03,257.8,0.0135,0.091,0.04337438,90.46,0.044,0.0,9353.33,"{'vega': 15.17624, 'theta': -5.11874, 'rho': 4.84743, 'gamma': 5e-05, 'delta': 0.18317}",9353.33,19252188594,"[[0.0415, 14.0], [0.04, 16.7], [0.0205, 0.1], [0.02, 0.5], [0.017, 0.1], [0.007, 3.0], [0.002, 0.1]]",89.28,0.0415,14.0,0.0455,14.0,"[[0.0455, 14.0], [0.046, 3.2], [0.048, 13.0], [0.055, 0.5], [0.1885, 0.1], [0.2885, 0.1]]",91.77
108,1590134400000,call,BTC-22MAY20-9000-C,9000.0,9354.85,SYN.BTC-22MAY20,1589434948858,"{'volume': 218.7, 'price_change': 59.5238, 'low': 0.0415, 'high': 0.074}",open,0.04,351.5,0.0355,0.108,0.07119254,85.77,0.067,0.0,9353.1,"{'vega': 5.19695, 'theta': -27.52994, 'rho': 1.18654, 'gamma': 0.00031, 'delta': 0.64304}",9353.1,19252190262,"[[0.067, 10.0], [0.059, 7.0], [0.0515, 0.1], [0.02, 0.2], [0.011, 10.0], [0.01, 1.0], [0.001, 0.1]]",78.19,0.067,10.0,0.0705,16.0,"[[0.0705, 16.0], [0.071, 10.0], [0.0725, 7.0], [0.095, 1.0], [0.1, 1.0], [0.105, 1.5], [0.309, 10.0]]",84.52
109,1601020800000,put,BTC-25SEP20-18000-P,18000.0,9438.06,BTC-25SEP20,1589434948860,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,1.05,0.9,0.87,1.046,0.95050152,90.46,2.2055,0.0,9353.1,"{'vega': 15.17531, 'theta': -5.11843, 'rho': -61.28241, 'gamma': 5e-05, 'delta': -0.81684}",9353.1,19228290707,"[[0.0005, 13.8]]",0.0,0.0005,13.8,8.4155,0.1,"[[8.4155, 0.1]]",500.0
110,1590134400000,call,BTC-22MAY20-8500-C,8500.0,9354.62,SYN.BTC-22MAY20,1589434949866,"{'volume': 2.0, 'price_change': -0.6757, 'low': 0.0735, 'high': 0.074}",open,0.08,347.0,0.074,0.148,0.11094856,94.05,0.0735,0.0,9353.03,"{'vega': 4.18282, 'theta': -24.29662, 'rho': 1.37699, 'gamma': 0.00023, 'delta': 0.77457}",9353.03,19252189498,"[[0.0795, 6.0], [0.04, 0.2], [0.0375, 2.0], [0.02, 1.0]]",0.0,0.0795,6.0,0.131,6.0,"[[0.131, 6.0], [0.2795, 14.0]]",135.85
111,1608883200000,call,BTC-25DEC20-3000-C,3000.0,9511.36,BTC-25DEC20,1589434949866,"{'volume': 1.9, 'price_change': 3.2018, 'low': 0.6705, 'high': 0.693}",open,0.68,43.8,0.6815,0.7265,0.70133185,106.18,0.693,0.0,9353.03,"{'vega': 5.88937, 'theta': -1.38906, 'rho': 15.415, 'gamma': 1e-05, 'delta': 0.96413}",9353.03,19252177816,"[[0.693, 17.8], [0.5955, 0.1], [0.5915, 0.1], [0.5905, 0.1], [0.5885, 0.1], [0.06, 0.1], [0.05, 0.1]]",90.59,0.693,17.8,0.7045,18.0,"[[0.7045, 18.0]]",111.11
112,1601020800000,put,BTC-25SEP20-16000-P,16000.0,9438.26,BTC-25SEP20,1589434950872,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.84,3.2,0.674,0.8435,0.75239812,87.69,0.821,0.0,9353.24,"{'vega': 17.51848, 'theta': -5.72792, 'rho': -52.66558, 'gamma': 6e-05, 'delta': -0.76648}",9353.24,19228290710,"[[0.01, 0.7], [0.0095, 5.0], [0.009, 0.1]]",0.0,0.01,0.7,6.8355,0.1,"[[6.8355, 0.1]]",500.0
113,1590739200000,call,BTC-29MAY20-5000-C,5000.0,9356.07,SYN.BTC-29MAY20,1589434950997,"{'volume': 0.1, 'price_change': 0.0, 'low': 0.4695, 'high': 0.4695}",open,0.44,53.0,0.4495,0.493,0.4687686,167.6,0.4695,0.0,9353.24,"{'vega': 1.00951, 'theta': -5.60414, 'rho': 1.96934, 'gamma': 2e-05, 'delta': 0.97772}",9353.24,19252189383,"[[0.0175, 10.0]]",0.0,0.0175,10.0,0.693,10.0,"[[0.693, 10.0]]",500.0
114,1590739200000,put,BTC-29MAY20-5000-P,5000.0,9356.07,SYN.BTC-29MAY20,1589434950999,"{'volume': 146.3, 'price_change': -25.0, 'low': 0.003, 'high': 0.004}",open,0.0,1968.5,0.0005,0.018,0.0031932,167.6,0.003,0.0,9353.24,"{'vega': 1.00951, 'theta': -5.60414, 'rho': -0.09858, 'gamma': 2e-05, 'delta': -0.02228}",9353.24,19252190697,"[[0.0025, 41.0], [0.002, 14.0], [0.0015, 0.5], [0.001, 0.2], [0.0005, 5.0]]",160.71,0.0025,41.0,0.004,58.0,"[[0.004, 58.0], [0.0045, 5.0], [0.005, 18.0], [0.019, 4.0], [0.03, 0.1], [0.06, 0.1], [0.067, 14.5], [0.0995, 0.1], [0.1, 1.1], [0.25, 200.0], [0.428, 50.0], [0.515, 558.0], [0.8, 1.0]]",174.6
